name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat
AbbVie Inc,N/A,AbbVie Inc,00287Y109,,ABBV,US,EC,CORP
AirSculpt Technologies Inc,N/A,AirSculpt Technologies Inc,009496100,,AIRS,US,EC,CORP
Align Technology Inc,N/A,Align Technology Inc,016255101,,ALGN,US,EC,CORP
AptarGroup Inc,N/A,AptarGroup Inc,038336103,,ATR,US,EC,CORP
Bath & Body Works Inc,N/A,Bath & Body Works Inc,070830104,,BBWI,US,EC,CORP
Colgate-Palmolive Co,N/A,Colgate-Palmolive Co,194162103,,CL,US,EC,CORP
Coty Inc,N/A,Coty Inc,222070203,,COTY,US,EC,CORP
Estee Lauder Cos Inc/The,N/A,Estee Lauder Cos Inc/The,518439104,,EL,US,EC,CORP
elf Beauty Inc,N/A,elf Beauty Inc,26856L103,,ELF,US,EC,CORP
Evolus Inc,N/A,Evolus Inc,30052C107,,EOLS,US,EC,CORP
Edgewell Personal Care Co,N/A,Edgewell Personal Care Co,28035Q102,,EPC,US,EC,CORP
Establishment Labs Holdings In,N/A,Establishment Labs Holdings Inc,N/A,,ESTA,US,EC,CORP
Helen of Troy Ltd,N/A,Helen of Troy Ltd,N/A,,HELE,US,EC,CORP
Hims & Hers Health Inc,N/A,Hims & Hers Health Inc,433000106,,HIMS,US,EC,CORP
Honest Co Inc/The,N/A,Honest Co Inc/The,438333106,,HNST,US,EC,CORP
International Flavors & Fragra,N/A,International Flavors & Fragrances Inc,459506101,,IFF,US,EC,CORP
Inmode Ltd,N/A,Inmode Ltd,N/A,,INMD,IL,EC,CORP
Interparfums Inc,N/A,Interparfums Inc,458334109,,IPAR,US,EC,CORP
Kenvue Inc,N/A,Kenvue Inc,49177J102,,KVUE,US,EC,CORP
Nu Skin Enterprises Inc,N/A,Nu Skin Enterprises Inc,67018T105,,NUS,US,EC,CORP
Oddity Tech Ltd,N/A,Oddity Tech Ltd,N/A,,ODD,US,EC,CORP
Olaplex Holdings Inc,N/A,Olaplex Holdings Inc,679369108,,OLPX,US,EC,CORP
Sally Beauty Holdings Inc,N/A,Sally Beauty Holdings Inc,79546E104,,SBH,US,EC,CORP
ULTA BEAUTY INC,N/A,ULTA BEAUTY INC,90384S303,,ULTA,US,EC,CORP
USANA Health Sciences Inc,N/A,USANA Health Sciences Inc,90328M107,,USNA,US,EC,CORP
First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF
